Year,Country,Type,Count
2015,MX,Intermediate,6.0
2015,MX,Intro,2.0
2015,MY,Advanced,0.0
2015,MY,Intermediate,4.0
2015,MY,Intro,3.0
2015,MZ,Advanced,0.0
2015,MZ,Intermediate,0.0
2015,MZ,Intro,0.0
2015,NG,Advanced,0.0
2015,NG,Intermediate,0.0
2015,NG,Intro,0.0
2015,NI,Advanced,0.0
2015,NI,Intermediate,0.0
2015,NI,Intro,0.0
2015,NL,Advanced,1.0
2015,NL,Intermediate,2.0
2015,NL,Intro,0.0
2015,NO,Advanced,0.0
2015,NO,Intermediate,0.0
2015,NO,Intro,0.0
2015,NP,Advanced,0.0
2015,NP,Intermediate,0.0
2015,NP,Intro,0.0
2015,NZ,Advanced,0.0
2015,NZ,Intermediate,0.0
2015,NZ,Intro,0.0
2015,PA,Advanced,0.0
2015,PA,Intermediate,0.0
2015,PA,Intro,0.0
2015,PE,Advanced,0.0
2015,PE,Intermediate,0.0
2015,PE,Intro,0.0
2015,PH,Advanced,0.0
2015,PH,Intermediate,5.0
2015,PH,Intro,2.0
2015,PK,Advanced,0.0
2015,PK,Intermediate,0.0
2015,PK,Intro,0.0
2015,PR,Advanced,0.0
2015,PR,Intermediate,2.0
2015,PR,Intro,1.0
2015,PT,Advanced,0.0
2015,PT,Intermediate,0.0
2015,PT,Intro,0.0
2015,RO,Advanced,0.0
2015,RO,Intermediate,2.0
2015,RO,Intro,1.0
2015,RU,Advanced,0.0
2015,RU,Intermediate,0.0
2015,RU,Intro,0.0
2015,SC,Advanced,0.0
2015,SC,Intermediate,0.0
2015,SC,Intro,0.0
2015,SE,Advanced,0.0
2015,SE,Intermediate,0.0
2015,SE,Intro,0.0
2015,SG,Advanced,0.0
2015,SG,Intermediate,0.0
2015,SG,Intro,0.0
2015,SI,Advanced,2.0
2015,SI,Intermediate,3.0
2015,SI,Intro,1.0
2015,SR,Advanced,0.0
2015,SR,Intermediate,0.0
2015,SR,Intro,0.0
2015,SZ,Advanced,0.0
2015,SZ,Intermediate,0.0
2015,SZ,Intro,0.0
2015,TH,Advanced,0.0
2015,TH,Intermediate,18.0
2015,TH,Intro,7.0
2015,TN,Advanced,4.0
2015,TN,Intermediate,8.0
2015,TN,Intro,3.0
2015,TT,Advanced,0.0
2015,TT,Intermediate,0.0
2015,TT,Intro,0.0
2015,TZ,Advanced,0.0
2015,TZ,Intermediate,2.0
2015,TZ,Intro,1.0
2015,US,Advanced,32.0
2015,US,Intermediate,40.0
2015,US,Intro,22.0
2015,VN,Advanced,0.0
2015,VN,Intermediate,8.0
2015,VN,Intro,3.0
2015,WORLD,Advanced,94.0
2015,WORLD,Intermediate,637.0
2015,WORLD,Intro,849.0
2015,ZA,Advanced,0.0
2015,ZA,Intermediate,36.0
2015,ZA,Intro,18.0
2015,ZW,Advanced,0.0
2015,ZW,Intermediate,2.0
2015,ZW,Intro,1.0
2016,AE,Advanced,0.0
2016,AE,Intermediate,0.0
2016,AE,Intro,0.0
2016,AR,Advanced,0.0
2016,AR,Intermediate,1.0
2016,AR,Intro,2.0
2016,AT,Advanced,0.0
2016,AT,Intermediate,0.0
2016,AT,Intro,0.0
2016,AU,Advanced,0.0
2016,AU,Intermediate,0.0
2016,AU,Intro,6.0
2016,BB,Advanced,0.0
2016,BB,Intermediate,0.0
2016,BB,Intro,6.0
2016,BD,Advanced,0.0
2016,BD,Intermediate,0.0
2016,BD,Intro,0.0
2016,BE,Advanced,0.0
2016,BE,Intermediate,0.0
2016,BE,Intro,0.0
2016,BG,Advanced,0.0
2016,BG,Intermediate,0.0
2016,BG,Intro,0.0
2016,BJ,Advanced,0.0
2016,BJ,Intermediate,0.0
2016,BJ,Intro,2.0
2016,BO,Advanced,0.0
2016,BO,Intermediate,0.0
2016,BO,Intro,3.0
2016,BR,Advanced,0.0
2016,BR,Intermediate,0.0
2016,BR,Intro,10.0
2016,BS,Advanced,0.0
2016,BS,Intermediate,0.0
2016,BS,Intro,6.0
2016,BT,Advanced,0.0
2016,BT,Intermediate,0.0
2016,BT,Intro,6.0
2016,BW,Advanced,0.0
2016,BW,Intermediate,0.0
2016,BW,Intro,0.0
2016,BZ,Advanced,0.0
2016,BZ,Intermediate,0.0
2016,BZ,Intro,3.0
2016,CA,Advanced,0.0
2016,CA,Intermediate,0.0
2016,CA,Intro,16.0
2016,CH,Advanced,0.0
2016,CH,Intermediate,0.0
2016,CH,Intro,18.0
2016,CI,Advanced,0.0
2016,CI,Intermediate,0.0
2016,CI,Intro,0.0
2016,CL,Advanced,0.0
2016,CL,Intermediate,0.0
2016,CL,Intro,0.0
2016,CM,Advanced,0.0
2016,CM,Intermediate,0.0
2016,CM,Intro,0.0
2016,CN,Advanced,0.0
2016,CN,Intermediate,4.0
2016,CN,Intro,30.0
2016,CO,Advanced,0.0
2016,CO,Intermediate,0.0
2016,CO,Intro,9.0
2016,CR,Advanced,0.0
2016,CR,Intermediate,0.0
2016,CR,Intro,0.0
2016,DE,Advanced,0.0
2016,DE,Intermediate,0.0
2016,DE,Intro,12.0
2016,DK,Advanced,0.0
2016,DK,Intermediate,0.0
2016,DK,Intro,0.0
2016,DO,Advanced,0.0
