Year,Country,Type,Count
2013,IT,Seminar,0.0
2013,IT,Symposium,0.0
2013,IT,Webinar,0.0
2013,JM,Intro,0.0
2013,JM,Nodal,0.0
2013,JM,Partner,0.0
2013,JM,Public,0.0
2013,JM,Regional,0.0
2013,JM,Seminar,0.0
2013,JM,Symposium,0.0
2013,JM,Webinar,0.0
2013,JO,Intro,0.0
2013,JO,Nodal,0.0
2013,JO,Partner,0.0
2013,JO,Public,0.0
2013,JO,Regional,0.0
2013,JO,Seminar,0.0
2013,JO,Symposium,0.0
2013,JO,Webinar,0.0
2013,JP,Intro,0.0
2013,JP,Nodal,0.0
2013,JP,Partner,0.0
2013,JP,Public,1.0
2013,JP,Regional,0.0
2013,JP,Seminar,0.0
2013,JP,Symposium,0.0
2013,JP,Webinar,0.0
2013,KE,Intro,0.0
2013,KE,Nodal,0.0
2013,KE,Partner,0.0
2013,KE,Public,1.0
2013,KE,Regional,0.0
2013,KE,Seminar,0.0
2013,KE,Symposium,0.0
2013,KE,Webinar,0.0
2013,KG,Intro,0.0
2013,KG,Nodal,0.0
2013,KG,Partner,1.0
2013,KG,Public,0.0
2013,KG,Regional,0.0
2013,KG,Seminar,0.0
2013,KG,Symposium,0.0
2013,KG,Webinar,0.0
2013,KH,Intro,0.0
2013,KH,Nodal,0.0
2013,KH,Partner,24.0
2013,KH,Public,0.0
2013,KH,Regional,0.0
2013,KH,Seminar,0.0
2013,KH,Symposium,0.0
2013,KH,Webinar,0.0
2013,KR,Intro,0.0
2013,KR,Nodal,0.0
2013,KR,Partner,0.0
2013,KR,Public,0.0
2013,KR,Regional,0.0
2013,KR,Seminar,0.0
2013,KR,Symposium,0.0
2013,KR,Webinar,0.0
2013,KZ,Intro,0.0
2013,KZ,Nodal,0.0
2013,KZ,Partner,0.0
2013,KZ,Public,0.0
2013,KZ,Regional,0.0
2013,KZ,Seminar,0.0
2013,KZ,Symposium,0.0
2013,KZ,Webinar,0.0
2013,LA,Intro,0.0
2013,LA,Nodal,0.0
2013,LA,Partner,0.0
2013,LA,Public,1.0
2013,LA,Regional,0.0
2013,LA,Seminar,0.0
2013,LA,Symposium,0.0
2013,LA,Webinar,0.0
2013,LK,Intro,0.0
2013,LK,Nodal,0.0
2013,LK,Partner,0.0
2013,LK,Public,0.0
2013,LK,Regional,0.0
2013,LK,Seminar,0.0
2013,LK,Symposium,0.0
2013,LK,Webinar,0.0
2013,LR,Intro,0.0
2013,LR,Nodal,0.0
2013,LR,Partner,0.0
2013,LR,Public,0.0
2013,LR,Regional,0.0
2013,LR,Seminar,0.0
2013,LR,Symposium,0.0
2013,LR,Webinar,0.0
2013,LT,Intro,0.0
2013,LT,Nodal,0.0
2013,LT,Partner,0.0
2013,LT,Public,0.0
2013,LT,Regional,0.0
2013,LT,Seminar,0.0
2013,LT,Symposium,0.0
2013,LT,Webinar,0.0
2013,MA,Intro,0.0
2013,MA,Nodal,0.0
2013,MA,Partner,0.0
2013,MA,Public,0.0
2013,MA,Regional,0.0
2013,MA,Seminar,0.0
2013,MA,Symposium,0.0
2013,MA,Webinar,0.0
2013,MG,Intro,0.0
2013,MG,Nodal,0.0
2013,MG,Partner,0.0
2013,MG,Public,0.0
2013,MG,Regional,0.0
2013,MG,Seminar,0.0
2013,MG,Symposium,0.0
2013,MG,Webinar,0.0
2013,MM,Intro,0.0
2013,MM,Nodal,0.0
2013,MM,Partner,0.0
2013,MM,Public,0.0
2013,MM,Regional,0.0
2013,MM,Seminar,0.0
2013,MM,Symposium,0.0
2013,MM,Webinar,0.0
2013,MN,Intro,0.0
2013,MN,Nodal,0.0
2013,MN,Partner,20.0
2013,MN,Public,0.0
2013,MN,Regional,0.0
2013,MN,Seminar,0.0
2013,MN,Symposium,0.0
2013,MN,Webinar,0.0
2013,MQ,Intro,0.0
2013,MQ,Nodal,0.0
2013,MQ,Partner,0.0
2013,MQ,Public,0.0
2013,MQ,Regional,0.0
2013,MQ,Seminar,0.0
2013,MQ,Symposium,0.0
2013,MQ,Webinar,0.0
2013,MX,Intro,0.0
2013,MX,Nodal,1.0
2013,MX,Partner,3.0
2013,MX,Public,2.0
2013,MX,Regional,0.0
2013,MX,Seminar,0.0
2013,MX,Symposium,0.0
2013,MX,Webinar,0.0
2013,MY,Intro,0.0
2013,MY,Nodal,0.0
2013,MY,Partner,0.0
2013,MY,Public,2.0
2013,MY,Regional,0.0
2013,MY,Seminar,0.0
2013,MY,Symposium,0.0
2013,MY,Webinar,0.0
2013,MZ,Intro,0.0
2013,MZ,Nodal,0.0
2013,MZ,Partner,24.0
2013,MZ,Public,0.0
2013,MZ,Regional,0.0
2013,MZ,Seminar,0.0
2013,MZ,Symposium,0.0
2013,MZ,Webinar,0.0
2013,NG,Intro,0.0
2013,NG,Nodal,0.0
2013,NG,Partner,0.0
2013,NG,Public,0.0
2013,NG,Regional,0.0
2013,NG,Seminar,0.0
2013,NG,Symposium,0.0
2013,NG,Webinar,0.0
2013,NI,Intro,0.0
2013,NI,Nodal,0.0
2013,NI,Partner,7.0
2013,NI,Public,0.0
2013,NI,Regional,0.0
2013,NI,Seminar,0.0
2013,NI,Symposium,0.0
2013,NI,Webinar,0.0
2013,NL,Intro,0.0
2013,NL,Nodal,0.0
2013,NL,Partner,0.0
2013,NL,Public,1.0
2013,NL,Regional,0.0
2013,NL,Seminar,0.0
2013,NL,Symposium,0.0
2013,NL,Webinar,0.0
2013,NO,Intro,0.0
2013,NO,Nodal,0.0
2013,NO,Partner,0.0
2013,NO,Public,0.0
2013,NO,Regional,0.0
2013,NO,Seminar,0.0
2013,NO,Symposium,0.0
2013,NO,Webinar,0.0
2013,NP,Intro,0.0
2013,NP,Nodal,0.0
2013,NP,Partner,0.0
2013,NP,Public,0.0
2013,NP,Regional,0.0
2013,NP,Seminar,0.0
2013,NP,Symposium,0.0
2013,NP,Webinar,0.0
2013,NZ,Intro,0.0
2013,NZ,Nodal,0.0
2013,NZ,Partner,0.0
2013,NZ,Public,2.0
2013,NZ,Regional,1.0
2013,NZ,Seminar,0.0
2013,NZ,Symposium,0.0
2013,NZ,Webinar,0.0
2013,PA,Intro,0.0
2013,PA,Nodal,0.0
2013,PA,Partner,1.0
2013,PA,Public,0.0
2013,PA,Regional,0.0
2013,PA,Seminar,0.0
2013,PA,Symposium,0.0
2013,PA,Webinar,0.0
2013,PE,Intro,0.0
2013,PE,Nodal,0.0
2013,PE,Partner,44.0
2013,PE,Public,0.0
2013,PE,Regional,0.0
2013,PE,Seminar,0.0
2013,PE,Symposium,0.0
2013,PE,Webinar,0.0
2013,PH,Intro,0.0
2013,PH,Nodal,0.0
2013,PH,Partner,0.0
2013,PH,Public,1.0
2013,PH,Regional,0.0
2013,PH,Seminar,0.0
2013,PH,Symposium,0.0
2013,PH,Webinar,0.0
2013,PK,Intro,0.0
2013,PK,Nodal,0.0
2013,PK,Partner,0.0
2013,PK,Public,0.0
2013,PK,Regional,0.0
2013,PK,Seminar,0.0
2013,PK,Symposium,0.0
2013,PK,Webinar,0.0
2013,PR,Intro,0.0
2013,PR,Nodal,0.0
2013,PR,Partner,0.0
2013,PR,Public,0.0
2013,PR,Regional,0.0
2013,PR,Seminar,0.0
2013,PR,Symposium,0.0
2013,PR,Webinar,0.0
2013,PT,Intro,0.0
2013,PT,Nodal,0.0
2013,PT,Partner,0.0
2013,PT,Public,0.0
2013,PT,Regional,1.0
2013,PT,Seminar,0.0
2013,PT,Symposium,0.0
2013,PT,Webinar,0.0
2013,RO,Intro,0.0
2013,RO,Nodal,0.0
2013,RO,Partner,0.0
2013,RO,Public,0.0
2013,RO,Regional,0.0
2013,RO,Seminar,0.0
2013,RO,Symposium,0.0
2013,RO,Webinar,0.0
2013,RU,Intro,0.0
2013,RU,Nodal,0.0
2013,RU,Partner,0.0
2013,RU,Public,0.0
2013,RU,Regional,0.0
2013,RU,Seminar,0.0
2013,RU,Symposium,0.0
2013,RU,Webinar,0.0
2013,SC,Intro,0.0
2013,SC,Nodal,0.0
2013,SC,Partner,0.0
2013,SC,Public,0.0
2013,SC,Regional,0.0
2013,SC,Seminar,0.0
2013,SC,Symposium,0.0
2013,SC,Webinar,0.0
2013,SE,Intro,0.0
2013,SE,Nodal,0.0
2013,SE,Partner,0.0
2013,SE,Public,1.0
2013,SE,Regional,0.0
2013,SE,Seminar,0.0
2013,SE,Symposium,0.0
2013,SE,Webinar,0.0
2013,SG,Intro,0.0
2013,SG,Nodal,0.0
2013,SG,Partner,0.0
2013,SG,Public,1.0
2013,SG,Regional,0.0
2013,SG,Seminar,0.0
2013,SG,Symposium,0.0
2013,SG,Webinar,0.0
2013,SI,Intro,0.0
2013,SI,Nodal,0.0
2013,SI,Partner,0.0
2013,SI,Public,0.0
2013,SI,Regional,0.0
2013,SI,Seminar,0.0
2013,SI,Symposium,0.0
2013,SI,Webinar,0.0
2013,SR,Intro,0.0
2013,SR,Nodal,0.0
2013,SR,Partner,0.0
2013,SR,Public,0.0
2013,SR,Regional,0.0
2013,SR,Seminar,0.0
2013,SR,Symposium,0.0
2013,SR,Webinar,0.0
2013,SZ,Intro,0.0
2013,SZ,Nodal,0.0
2013,SZ,Partner,0.0
2013,SZ,Public,0.0
2013,SZ,Regional,0.0
2013,SZ,Seminar,0.0
2013,SZ,Symposium,0.0
2013,SZ,Webinar,0.0
2013,TH,Intro,0.0
2013,TH,Nodal,0.0
2013,TH,Partner,0.0
2013,TH,Public,0.0
2013,TH,Regional,0.0
2013,TH,Seminar,0.0
2013,TH,Symposium,0.0
2013,TH,Webinar,0.0
2013,TN,Intro,0.0
2013,TN,Nodal,0.0
2013,TN,Partner,0.0
2013,TN,Public,0.0
2013,TN,Regional,0.0
2013,TN,Seminar,0.0
2013,TN,Symposium,0.0
2013,TN,Webinar,0.0
2013,TT,Intro,0.0
2013,TT,Nodal,0.0
2013,TT,Partner,0.0
2013,TT,Public,0.0
2013,TT,Regional,0.0
2013,TT,Seminar,0.0
2013,TT,Symposium,0.0
2013,TT,Webinar,0.0
2013,TZ,Intro,0.0
2013,TZ,Nodal,0.0
2013,TZ,Partner,0.0
2013,TZ,Public,0.0
2013,TZ,Regional,0.0
2013,TZ,Seminar,0.0
2013,TZ,Symposium,0.0
2013,TZ,Webinar,0.0
2013,US,Intro,25.0
2013,US,Nodal,40.0
